1254380,,UTC,2024-12-09,15:30:00,21168,Stadio Curva Fiesole - Viola Park,Bagno a Ripoli,90,3,705,Campionato Primavera - 1,2024,Regular Season - 14,24731,Fiorentina U20,24735,Lazio U20,3,0,3,0,,,,
1320837,,UTC,2024-12-09,15:30:00,3421,Stade Robert Champroux,Abidjan,90,6,386,Ligue 1,2024,Regular Season - 13,6346,SOL,24756,Olympique Sport d'Abobo,2,2,0,0,,,,
1220992,"Igor Pashal, Ukraine",UTC,2024-12-09,16:00:00,11948,Tsentralnyi Stadion,Zhytomyr,90,7,333,Premier League,2024,Regular Season - 16,6496,Polessya,3632,Ruh Lviv,0,1,0,1,,,,
1278441,,UTC,2024-12-09,16:00:00,4,Air Albania Stadium,Tirana,90,6,310,Superliga,2024,Regular Season - 17,694,Tirana,3320,Teuta Durrës,0,0,0,0,,,,
1302252,,UTC,2024-12-09,16:00:00,3150,Dire Dawa Stadium,Dire Dawa,90,5,363,Premier League,2024,Regular Season - 11,9983,Hadiya Hosaena,4123,Sidama Bunna,3,2,2,1,,,,
1303995,,UTC,2024-12-09,16:00:00,,Stād al-Bahrayn al-Watanī,Riffa,90,11,417,Premier League,2024,Regular Season - 6,17666,Khalidiya,5480,Al Shabab,2,0,1,0,,,,
1303998,,UTC,2024-12-09,16:00:00,,Sheikh Ali bin Mohammed Al Khalifa Stadium,Muharraq,90,12,417,Premier League,2024,Regular Season - 6,5482,Al Riffa,5580,Al Ahli,2,1,0,0,,,,
1304370,,UTC,2024-12-09,16:00:00,3429,Al Hasan Stadium,Irbid,90,7,387,League,2024,Regular Season - 11,4532,Al Hussein,4539,Shabab Al Ordon,2,1,1,0,,,,
1214696,N. Simović,UTC,2024-12-09,17:00:00,1427,Gradski Stadion Čair,Niš,90,5,286,Super Liga,2024,Regular Season - 18,2254,Radnicki NIS,2644,Radnicki 1923,1,2,0,1,,,,
1222284,,UTC,2024-12-09,17:00:00,2610,National Stadium Ramat Gan,Ramat Gan,90,,382,Liga Leumit,2024,Regular Season - 14,4489,Hapoel Ramat Gan,4503,Maccabi Herzliya,6,0,4,0,,,,
1222289,,UTC,2024-12-09,17:00:00,3410,Haberfeld Stadium,Rishon LeZion,90,5,382,Liga Leumit,2024,Regular Season - 14,4491,Hapoel Rishon LeZion,6160,Hapoel Kfar Shalem,1,4,1,2,,,,
1222291,,UTC,2024-12-09,17:00:00,,Grundman Stadium,Ramat-ha’Sharon,90,4,382,Liga Leumit,2024,Regular Season - 14,4490,Hapoel Ramat HaSharon,4509,Hapoel Ra'anana,4,0,4,0,,,,
1226570,,UTC,2024-12-09,17:00:00,201,Stadion Grbavica,Sarajevo,90,3,315,Premijer Liga,2024,Regular Season - 17,654,Zeljeznicar Sarajevo,3356,GOŠK Gabela,4,1,1,1,,,,
1237982,"Direnc Tonusluoglu, Türkiye",UTC,2024-12-09,17:00:00,20118,Kalyon Stadyumu,Gaziantep,90,7,203,Süper Lig,2024,Regular Season - 15,3573,Gazişehir Gaziantep,1007,Rizespor,1,0,1,0,,,,
1251192,N. Westerhoff,UTC,2024-12-09,17:00:00,12295,Stadion am Brentanobad,Frankfurt am Main,90,3,82,Frauen Bundesliga,2024,Regular Season - 11,14014,Eintracht Frankfurt W,20501,RB Leipzig W,3,0,1,0,,,,
1261422,"Burak Olcar, Türkiye",UTC,2024-12-09,17:00:00,12125,Esenler Erokspor Stadyumu,İstanbul,90,6,204,1. Lig,2024,Regular Season - 15,7402,Erokspor,3577,Ümraniyespor,0,1,0,0,,,,
